[13-Nov-2025 11:58:36 UTC] PHP Deprecated:  Function libxml_disable_entity_loader() is deprecated since 8.0, as external entity loading is disabled by default in /home/pbmediao/public_html/wordpress-test/wp-content/plugins/startup-framework/core/dashboard/install-demo/parsers.php on line 72
[13-Nov-2025 11:58:37 UTC] PHP Deprecated:  Function libxml_disable_entity_loader() is deprecated since 8.0, as external entity loading is disabled by default in /home/pbmediao/public_html/wordpress-test/wp-content/plugins/startup-framework/core/dashboard/install-demo/parsers.php on line 76
[13-Nov-2025 11:58:43 UTC] PHP Deprecated:  Function libxml_disable_entity_loader() is deprecated since 8.0, as external entity loading is disabled by default in /home/pbmediao/public_html/wordpress-test/wp-content/plugins/startup-framework/core/dashboard/install-demo/parsers.php on line 72
[13-Nov-2025 11:58:43 UTC] PHP Deprecated:  Function libxml_disable_entity_loader() is deprecated since 8.0, as external entity loading is disabled by default in /home/pbmediao/public_html/wordpress-test/wp-content/plugins/startup-framework/core/dashboard/install-demo/parsers.php on line 76
[13-Nov-2025 11:58:49 UTC] PHP Deprecated:  Function libxml_disable_entity_loader() is deprecated since 8.0, as external entity loading is disabled by default in /home/pbmediao/public_html/wordpress-test/wp-content/plugins/startup-framework/core/dashboard/install-demo/parsers.php on line 72
[13-Nov-2025 11:58:49 UTC] PHP Deprecated:  Function libxml_disable_entity_loader() is deprecated since 8.0, as external entity loading is disabled by default in /home/pbmediao/public_html/wordpress-test/wp-content/plugins/startup-framework/core/dashboard/install-demo/parsers.php on line 76
[13-Nov-2025 11:58:54 UTC] PHP Deprecated:  Function libxml_disable_entity_loader() is deprecated since 8.0, as external entity loading is disabled by default in /home/pbmediao/public_html/wordpress-test/wp-content/plugins/startup-framework/core/dashboard/install-demo/parsers.php on line 72
[13-Nov-2025 11:58:55 UTC] PHP Deprecated:  Function libxml_disable_entity_loader() is deprecated since 8.0, as external entity loading is disabled by default in /home/pbmediao/public_html/wordpress-test/wp-content/plugins/startup-framework/core/dashboard/install-demo/parsers.php on line 76
[13-Nov-2025 11:59:00 UTC] PHP Deprecated:  Function libxml_disable_entity_loader() is deprecated since 8.0, as external entity loading is disabled by default in /home/pbmediao/public_html/wordpress-test/wp-content/plugins/startup-framework/core/dashboard/install-demo/parsers.php on line 72
[13-Nov-2025 11:59:00 UTC] PHP Deprecated:  Function libxml_disable_entity_loader() is deprecated since 8.0, as external entity loading is disabled by default in /home/pbmediao/public_html/wordpress-test/wp-content/plugins/startup-framework/core/dashboard/install-demo/parsers.php on line 76
[13-Nov-2025 11:59:08 UTC] PHP Deprecated:  Function libxml_disable_entity_loader() is deprecated since 8.0, as external entity loading is disabled by default in /home/pbmediao/public_html/wordpress-test/wp-content/plugins/startup-framework/core/dashboard/install-demo/parsers.php on line 72
[13-Nov-2025 11:59:08 UTC] PHP Deprecated:  Function libxml_disable_entity_loader() is deprecated since 8.0, as external entity loading is disabled by default in /home/pbmediao/public_html/wordpress-test/wp-content/plugins/startup-framework/core/dashboard/install-demo/parsers.php on line 76
[13-Nov-2025 11:59:16 UTC] PHP Deprecated:  Function libxml_disable_entity_loader() is deprecated since 8.0, as external entity loading is disabled by default in /home/pbmediao/public_html/wordpress-test/wp-content/plugins/startup-framework/core/dashboard/install-demo/parsers.php on line 72
[13-Nov-2025 11:59:16 UTC] PHP Deprecated:  Function libxml_disable_entity_loader() is deprecated since 8.0, as external entity loading is disabled by default in /home/pbmediao/public_html/wordpress-test/wp-content/plugins/startup-framework/core/dashboard/install-demo/parsers.php on line 76
[13-Nov-2025 11:59:18 UTC] PHP Deprecated:  Function libxml_disable_entity_loader() is deprecated since 8.0, as external entity loading is disabled by default in /home/pbmediao/public_html/wordpress-test/wp-content/plugins/startup-framework/core/dashboard/install-demo/parsers.php on line 72
[13-Nov-2025 11:59:18 UTC] PHP Deprecated:  Function libxml_disable_entity_loader() is deprecated since 8.0, as external entity loading is disabled by default in /home/pbmediao/public_html/wordpress-test/wp-content/plugins/startup-framework/core/dashboard/install-demo/parsers.php on line 76
[13-Nov-2025 11:59:21 UTC] PHP Deprecated:  Function libxml_disable_entity_loader() is deprecated since 8.0, as external entity loading is disabled by default in /home/pbmediao/public_html/wordpress-test/wp-content/plugins/startup-framework/core/dashboard/install-demo/parsers.php on line 72
[13-Nov-2025 11:59:21 UTC] PHP Deprecated:  Function libxml_disable_entity_loader() is deprecated since 8.0, as external entity loading is disabled by default in /home/pbmediao/public_html/wordpress-test/wp-content/plugins/startup-framework/core/dashboard/install-demo/parsers.php on line 76
[13-Nov-2025 11:59:27 UTC] PHP Warning:  exif_read_data(IconBox-1.jpg): Incorrect APP1 Exif Identifier Code in /home/pbmediao/public_html/wordpress-test/wp-admin/includes/image.php on line 940
[13-Nov-2025 11:59:28 UTC] PHP Warning:  exif_read_data(IconBox-3.jpg): Incorrect APP1 Exif Identifier Code in /home/pbmediao/public_html/wordpress-test/wp-admin/includes/image.php on line 940
